student_index,predicted_category,confidence,risk_level,intervention_priority,top_recommendation
646,Medium,0.7467123466874277,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
647,Medium,0.5745655899033744,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
648,Medium,0.7859838461582052,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
649,Medium,0.5322993804567873,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
650,Low,0.8177297875251712,Critical,HIGH,Schedule one-on-one academic counseling within one week.
651,Low,0.7918764116910033,Critical,HIGH,Schedule one-on-one academic counseling within one week.
652,Low,0.62620018924589,Critical,HIGH,Schedule one-on-one academic counseling within one week.
653,High,0.8967058350776759,Low,LOW,Maintain current support level; recognize positive performance.
654,Medium,0.8019003561749595,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
655,Medium,0.8455251882013696,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
656,Medium,0.7547798685924658,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
657,Low,0.7282969744176717,Critical,HIGH,Schedule one-on-one academic counseling within one week.
658,Low,0.8604201263058264,Critical,HIGH,Schedule one-on-one academic counseling within one week.
659,Medium,0.7615165127935856,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
660,High,0.8179397691260835,Low,LOW,Maintain current support level; recognize positive performance.
661,High,0.9128963717869428,Low,LOW,Maintain current support level; recognize positive performance.
662,High,0.9062844199952006,Low,LOW,Maintain current support level; recognize positive performance.
663,Medium,0.828836563470372,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
664,High,0.8399742172156652,Low,LOW,Maintain current support level; recognize positive performance.
665,High,0.8925002290717288,Low,LOW,Maintain current support level; recognize positive performance.
666,Medium,0.8375698927762643,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
667,High,0.6316510418011126,Low,LOW,Maintain current support level; recognize positive performance.
668,Medium,0.8133760852412841,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
669,Medium,0.7455847233413142,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
670,Medium,0.8255848928329589,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
671,High,0.8981460698090455,Low,LOW,Maintain current support level; recognize positive performance.
672,Medium,0.8790065650595582,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
673,Medium,0.7872540971871774,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
674,Low,0.9004207506394777,Critical,HIGH,Schedule one-on-one academic counseling within one week.
675,Medium,0.6840991179829384,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
676,Medium,0.8225289128615388,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
677,Low,0.8376206855704509,Critical,HIGH,Schedule one-on-one academic counseling within one week.
678,Medium,0.8805244792745067,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
679,Low,0.8746694165002554,Critical,HIGH,Schedule one-on-one academic counseling within one week.
680,Medium,0.6610454236035076,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
681,Medium,0.8311200655432054,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
682,Medium,0.7611363601659684,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
683,Medium,0.8018396761471418,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
684,High,0.9544058365303917,Low,LOW,Maintain current support level; recognize positive performance.
685,Medium,0.8784020202844048,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
686,Medium,0.8084328360753479,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
687,Medium,0.7922596357997677,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
688,Medium,0.4699512337917337,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
689,Medium,0.8665108085343283,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
690,High,0.6892840137156889,Low,LOW,Maintain current support level; recognize positive performance.
691,High,0.9347083241773063,Low,LOW,Maintain current support level; recognize positive performance.
692,Medium,0.7697062767115037,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
693,Medium,0.6889609318819769,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
694,Medium,0.8789242210027901,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
695,High,0.9520632607395172,Low,LOW,Maintain current support level; recognize positive performance.
696,Medium,0.8558082606957512,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
697,Medium,0.8506742643241122,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
698,Medium,0.5230028812432108,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
699,Medium,0.7657539886929067,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
700,Low,0.8245062364257272,Critical,HIGH,Schedule one-on-one academic counseling within one week.
701,High,0.9146415686123676,Low,LOW,Maintain current support level; recognize positive performance.
702,Medium,0.5046095793648477,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
703,Medium,0.8490291991024728,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
704,Medium,0.47106119993103107,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
705,Medium,0.5191702119767995,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
706,Medium,0.8268184827751419,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
707,High,0.8952680396015381,Low,LOW,Maintain current support level; recognize positive performance.
708,Medium,0.7321544442740524,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
709,High,0.8772879157597907,Low,LOW,Maintain current support level; recognize positive performance.
710,High,0.890748760047484,Low,LOW,Maintain current support level; recognize positive performance.
711,High,0.9344786534383555,Low,LOW,Maintain current support level; recognize positive performance.
712,Medium,0.8304470205541216,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
713,Medium,0.5229295105386667,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
714,Medium,0.7818211531741468,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
715,Medium,0.7411809141341115,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
716,High,0.8102718156114981,Low,LOW,Maintain current support level; recognize positive performance.
717,Medium,0.6377665515822172,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
718,Medium,0.8436471520200817,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
719,Medium,0.7679798812891765,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
720,Medium,0.8677064636839988,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
721,Medium,0.7662497935963911,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
722,High,0.8198850718847746,Low,LOW,Maintain current support level; recognize positive performance.
723,Medium,0.6883687045829308,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
724,Medium,0.7387686219014191,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
725,Medium,0.5327519280950809,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
726,Medium,0.7977028047897222,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
727,High,0.9699150958870814,Low,LOW,Maintain current support level; recognize positive performance.
728,High,0.523645954903666,Low,LOW,Maintain current support level; recognize positive performance.
729,High,0.9329570830995633,Low,LOW,Maintain current support level; recognize positive performance.
730,High,0.9837237245010868,Low,LOW,Maintain current support level; recognize positive performance.
731,High,0.954250242768947,Low,LOW,Maintain current support level; recognize positive performance.
732,High,0.9815298173532294,Low,LOW,Maintain current support level; recognize positive performance.
733,High,0.8898933319227211,Low,LOW,Maintain current support level; recognize positive performance.
734,High,0.9411279320300782,Low,LOW,Maintain current support level; recognize positive performance.
735,High,0.8748968549702246,Low,LOW,Maintain current support level; recognize positive performance.
736,Medium,0.5185350711601054,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
737,High,0.8300971121817191,Low,LOW,Maintain current support level; recognize positive performance.
738,High,0.9705497678493846,Low,LOW,Maintain current support level; recognize positive performance.
739,High,0.9314152874684257,Low,LOW,Maintain current support level; recognize positive performance.
740,High,0.8981371463945732,Low,LOW,Maintain current support level; recognize positive performance.
741,Medium,0.47519834194994504,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
742,Low,0.7127681551570946,Critical,HIGH,Schedule one-on-one academic counseling within one week.
743,High,0.9757457800353829,Low,LOW,Maintain current support level; recognize positive performance.
744,High,0.9393578429558902,Low,LOW,Maintain current support level; recognize positive performance.
745,Medium,0.7493136133050118,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
746,High,0.7544370982023108,Low,LOW,Maintain current support level; recognize positive performance.
747,Medium,0.8396130868371412,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
748,Medium,0.8341360806975008,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
749,High,0.6006841288850417,Low,LOW,Maintain current support level; recognize positive performance.
750,High,0.4905342555308067,Low,LOW,Maintain current support level; recognize positive performance.
751,High,0.964535912306407,Low,LOW,Maintain current support level; recognize positive performance.
752,High,0.9438426762076411,Low,LOW,Maintain current support level; recognize positive performance.
753,High,0.5263769130280436,Low,LOW,Maintain current support level; recognize positive performance.
754,High,0.8981498518636486,Low,LOW,Maintain current support level; recognize positive performance.
755,Medium,0.48462876864941573,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
756,Medium,0.7348868678610105,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
757,Medium,0.7313074018427017,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
758,High,0.5384836594136942,Low,LOW,Maintain current support level; recognize positive performance.
759,High,0.8925127300005584,Low,LOW,Maintain current support level; recognize positive performance.
760,High,0.8710101142503262,Low,LOW,Maintain current support level; recognize positive performance.
761,Medium,0.9191589437718274,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
762,High,0.5361358768323253,Low,LOW,Maintain current support level; recognize positive performance.
763,Medium,0.6100342327885961,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
764,Medium,0.8200673827139521,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
765,Low,0.7192495381328718,Critical,HIGH,Schedule one-on-one academic counseling within one week.
766,Medium,0.8235678443594326,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
767,Medium,0.5717028815496288,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
768,Medium,0.877334531613341,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
769,High,0.9302194810962938,Low,LOW,Maintain current support level; recognize positive performance.
770,High,0.906972592808317,Low,LOW,Maintain current support level; recognize positive performance.
771,High,0.9144067710882109,Low,LOW,Maintain current support level; recognize positive performance.
772,High,0.5522205842346455,Low,LOW,Maintain current support level; recognize positive performance.
773,High,0.9203689375824509,Low,LOW,Maintain current support level; recognize positive performance.
774,Medium,0.8957867845987506,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
775,Medium,0.7452289046703199,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
776,High,0.9467227260830555,Low,LOW,Maintain current support level; recognize positive performance.
777,Medium,0.7788377320926781,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
778,Medium,0.7813947472785684,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
779,Medium,0.7379370892845141,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
780,Medium,0.6421153413159658,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
781,High,0.940927998422588,Low,LOW,Maintain current support level; recognize positive performance.
782,High,0.8930949992314402,Low,LOW,Maintain current support level; recognize positive performance.
783,Medium,0.7787392117417581,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
784,Medium,0.6934777247882826,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
785,High,0.6201214965418401,Low,LOW,Maintain current support level; recognize positive performance.
786,High,0.6444231814552083,Low,LOW,Maintain current support level; recognize positive performance.
787,High,0.5735563885318247,Low,LOW,Maintain current support level; recognize positive performance.
788,High,0.958196924136829,Low,LOW,Maintain current support level; recognize positive performance.
789,High,0.9337566771185116,Low,LOW,Maintain current support level; recognize positive performance.
790,Medium,0.7809456451828777,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
791,High,0.9672419568289946,Low,LOW,Maintain current support level; recognize positive performance.
792,High,0.4468424046118622,Low,LOW,Maintain current support level; recognize positive performance.
793,Medium,0.5245721660120902,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
794,High,0.9416586469708185,Low,LOW,Maintain current support level; recognize positive performance.
795,High,0.9313201352672732,Low,LOW,Maintain current support level; recognize positive performance.
796,High,0.7713669852599537,Low,LOW,Maintain current support level; recognize positive performance.
797,Medium,0.7433713207153949,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
798,High,0.6902315166742593,Low,LOW,Maintain current support level; recognize positive performance.
799,High,0.81002571081274,Low,LOW,Maintain current support level; recognize positive performance.
800,Medium,0.8249213494550909,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
801,Medium,0.6038777936499686,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
802,Medium,0.722092859785546,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
803,Medium,0.7954718153539995,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
804,High,0.7678616085473106,Low,LOW,Maintain current support level; recognize positive performance.
805,High,0.8275173915277635,Low,LOW,Maintain current support level; recognize positive performance.
806,High,0.8102981172910572,Low,LOW,Maintain current support level; recognize positive performance.
807,High,0.9607986062265481,Low,LOW,Maintain current support level; recognize positive performance.
808,Medium,0.7971152907092808,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
809,High,0.5119728825527364,Low,LOW,Maintain current support level; recognize positive performance.
810,Medium,0.7919695529089426,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
811,High,0.9454718547023301,Low,LOW,Maintain current support level; recognize positive performance.
812,High,0.8987513081712791,Low,LOW,Maintain current support level; recognize positive performance.
813,High,0.7638104856950872,Low,LOW,Maintain current support level; recognize positive performance.
814,Medium,0.5694353828421137,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
815,High,0.8973445968192102,Low,LOW,Maintain current support level; recognize positive performance.
816,Medium,0.7921276155698803,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
817,Medium,0.672548134530521,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
818,Medium,0.8610380562477173,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
819,Medium,0.8265069857175049,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
820,Medium,0.7434529514162247,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
821,Medium,0.8531722262201307,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
822,High,0.8601909913332401,Low,LOW,Maintain current support level; recognize positive performance.
823,Low,0.8657493538822959,Critical,HIGH,Schedule one-on-one academic counseling within one week.
824,Medium,0.8031874436933779,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
825,Medium,0.8422282004605157,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
826,Medium,0.8162610107597865,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
827,Low,0.8247479035916642,Critical,HIGH,Schedule one-on-one academic counseling within one week.
828,High,0.7511236567693023,Low,LOW,Maintain current support level; recognize positive performance.
829,Medium,0.7104908815494103,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
830,Medium,0.8141094584024642,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
831,Low,0.883663024227669,Critical,HIGH,Schedule one-on-one academic counseling within one week.
832,Medium,0.7392493019079801,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
833,Medium,0.8257147728729075,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
834,High,0.8701934715778842,Low,LOW,Maintain current support level; recognize positive performance.
835,Low,0.8409609132002943,Critical,HIGH,Schedule one-on-one academic counseling within one week.
836,Low,0.7014433815068739,Critical,HIGH,Schedule one-on-one academic counseling within one week.
837,High,0.5890845824266154,Low,LOW,Maintain current support level; recognize positive performance.
838,Low,0.7552751704772069,Critical,HIGH,Schedule one-on-one academic counseling within one week.
839,Medium,0.7711749689062004,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
840,Low,0.7712243280578167,Critical,HIGH,Schedule one-on-one academic counseling within one week.
841,Medium,0.80556715021076,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
842,Low,0.5962659624066612,Critical,HIGH,Schedule one-on-one academic counseling within one week.
843,High,0.9401657552816377,Low,LOW,Maintain current support level; recognize positive performance.
844,Medium,0.7603521225127428,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
845,High,0.8973414907690572,Low,LOW,Maintain current support level; recognize positive performance.
846,Medium,0.8777764561109305,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
847,Medium,0.8115734408246946,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
848,Low,0.6946555214139825,Critical,HIGH,Schedule one-on-one academic counseling within one week.
849,Low,0.7372275923140158,Critical,HIGH,Schedule one-on-one academic counseling within one week.
850,Low,0.5533139147338432,Critical,HIGH,Schedule one-on-one academic counseling within one week.
851,High,0.6119111565976534,Low,LOW,Maintain current support level; recognize positive performance.
852,Medium,0.8198833618848438,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
853,Medium,0.7134368392681028,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
854,Medium,0.7715212217779004,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
855,Medium,0.8665812203006215,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
856,High,0.4965090022873057,Low,LOW,Maintain current support level; recognize positive performance.
857,High,0.7607546630725355,Low,LOW,Maintain current support level; recognize positive performance.
858,Medium,0.7641823691798748,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
859,Medium,0.8253081571562392,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
860,Low,0.7969762502308317,Critical,HIGH,Schedule one-on-one academic counseling within one week.
861,Medium,0.6734058717260634,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
862,High,0.6804978620146619,Low,LOW,Maintain current support level; recognize positive performance.
863,Medium,0.7978445269819139,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
864,Medium,0.708427172024231,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
865,Medium,0.6263060755599139,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
866,Medium,0.8421465245820637,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
867,High,0.8288607392906203,Low,LOW,Maintain current support level; recognize positive performance.
868,Medium,0.5744922897462869,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
869,Medium,0.8967340913636137,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
870,Medium,0.6302822382672846,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
871,Low,0.7401615595392366,Critical,HIGH,Schedule one-on-one academic counseling within one week.
872,Medium,0.8926534941751635,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
873,Low,0.5917764747760346,Critical,HIGH,Schedule one-on-one academic counseling within one week.
874,Medium,0.7085920986536776,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
875,Medium,0.5096284747167231,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
876,Medium,0.6954740391946201,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
877,Low,0.6084508174796883,Critical,HIGH,Schedule one-on-one academic counseling within one week.
878,Medium,0.8157432681613974,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
879,Low,0.8150576681913853,Critical,HIGH,Schedule one-on-one academic counseling within one week.
880,Medium,0.8087955985221429,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
881,Medium,0.7688700076010936,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
882,Medium,0.5635881432538224,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
883,Low,0.7658330393251066,Critical,HIGH,Schedule one-on-one academic counseling within one week.
884,Medium,0.5004726483645133,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
885,Medium,0.7584424381538497,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
886,Low,0.8920092445961975,Critical,HIGH,Schedule one-on-one academic counseling within one week.
887,Medium,0.7203950021025511,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
888,Medium,0.6891883931163645,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
889,Low,0.7498867691355052,Critical,HIGH,Schedule one-on-one academic counseling within one week.
890,Medium,0.6386087462043509,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
891,High,0.8445812455075113,Low,LOW,Maintain current support level; recognize positive performance.
892,Medium,0.7808735194614854,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
893,High,0.7283362386842573,Low,LOW,Maintain current support level; recognize positive performance.
894,High,0.8422778715713711,Low,LOW,Maintain current support level; recognize positive performance.
895,Low,0.7268607438174048,Critical,HIGH,Schedule one-on-one academic counseling within one week.
896,Medium,0.6929710490899036,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
897,Low,0.6763268273005815,Critical,HIGH,Schedule one-on-one academic counseling within one week.
898,High,0.7355097116432526,Low,LOW,Maintain current support level; recognize positive performance.
899,High,0.5106098484813417,Low,LOW,Maintain current support level; recognize positive performance.
900,Medium,0.8487051474745262,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
901,Medium,0.5650137803367878,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
902,Medium,0.8347659091486647,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
903,Low,0.6009951119487321,Critical,HIGH,Schedule one-on-one academic counseling within one week.
904,High,0.8522927141181899,Low,LOW,Maintain current support level; recognize positive performance.
905,High,0.8741431047059018,Low,LOW,Maintain current support level; recognize positive performance.
906,Medium,0.7477163562270518,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
907,Low,0.9040899371852171,Critical,HIGH,Schedule one-on-one academic counseling within one week.
908,Low,0.8360882700671849,Critical,HIGH,Schedule one-on-one academic counseling within one week.
909,Low,0.6869584866150058,Critical,HIGH,Schedule one-on-one academic counseling within one week.
910,Medium,0.48439839625982856,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
911,High,0.8951146739778862,Low,LOW,Maintain current support level; recognize positive performance.
912,High,0.8739747766672898,Low,LOW,Maintain current support level; recognize positive performance.
913,Low,0.7719786060216747,Critical,HIGH,Schedule one-on-one academic counseling within one week.
914,Low,0.8109785744758252,Critical,HIGH,Schedule one-on-one academic counseling within one week.
915,Low,0.855432052559015,Critical,HIGH,Schedule one-on-one academic counseling within one week.
916,Medium,0.687440833396077,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
917,Low,0.766580108819713,Critical,HIGH,Schedule one-on-one academic counseling within one week.
918,Low,0.651169285792503,Critical,HIGH,Schedule one-on-one academic counseling within one week.
919,Low,0.6930826827023874,Critical,HIGH,Schedule one-on-one academic counseling within one week.
920,High,0.934461358239151,Low,LOW,Maintain current support level; recognize positive performance.
921,High,0.6430370158384187,Low,LOW,Maintain current support level; recognize positive performance.
922,Medium,0.7086213343077068,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
923,Low,0.7056234290459833,Critical,HIGH,Schedule one-on-one academic counseling within one week.
924,Medium,0.7723506980122602,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
925,Medium,0.5327844906352587,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
926,Medium,0.7704934275799147,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
927,Low,0.7651452475739441,Critical,HIGH,Schedule one-on-one academic counseling within one week.
928,High,0.8649599338774405,Low,LOW,Maintain current support level; recognize positive performance.
929,Medium,0.7646842457954354,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
930,Medium,0.6649593711480599,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
931,High,0.5701297019214493,Low,LOW,Maintain current support level; recognize positive performance.
932,Medium,0.7186550976524935,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
933,Medium,0.8381862931751123,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
934,Medium,0.5363752713129131,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
935,Medium,0.7739657898307791,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
936,Medium,0.7363047379720942,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
937,Medium,0.8134806213205441,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
938,Medium,0.49246450328364233,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
939,Medium,0.8050439051797597,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
940,Low,0.7497309066824532,Critical,HIGH,Schedule one-on-one academic counseling within one week.
941,High,0.6898933505460104,Low,LOW,Maintain current support level; recognize positive performance.
942,Medium,0.7580932093362336,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
943,Medium,0.858865341245193,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
944,High,0.7735990904557274,Low,LOW,Maintain current support level; recognize positive performance.
945,Medium,0.7741487463518198,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
946,Medium,0.5200642631112418,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
947,Medium,0.6483172324998212,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
948,Medium,0.8952800965115667,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
949,Medium,0.8438973459139273,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
950,Medium,0.5716649040966933,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
951,Medium,0.7870961047432306,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
952,Medium,0.49744364988790174,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
953,Medium,0.5903145054651263,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
954,Medium,0.6998983593613995,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
955,Medium,0.623129091744508,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
956,Medium,0.6254831504982749,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
957,Medium,0.7004028963916572,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
958,Low,0.8542728238176838,Critical,HIGH,Schedule one-on-one academic counseling within one week.
959,Medium,0.6463683955355226,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
960,Medium,0.7377977091718911,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
961,Low,0.8652462174913086,Critical,HIGH,Schedule one-on-one academic counseling within one week.
962,Low,0.8792995472126636,Critical,HIGH,Schedule one-on-one academic counseling within one week.
963,Low,0.6176751417789828,Critical,HIGH,Schedule one-on-one academic counseling within one week.
964,Low,0.7193655267993009,Critical,HIGH,Schedule one-on-one academic counseling within one week.
965,Low,0.823060368990512,Critical,HIGH,Schedule one-on-one academic counseling within one week.
966,Low,0.7709357770655738,Critical,HIGH,Schedule one-on-one academic counseling within one week.
967,Low,0.611272684190493,Critical,HIGH,Schedule one-on-one academic counseling within one week.
968,Medium,0.5337171110045502,Critical,MEDIUM,Monitor weekly quiz scores and attendance trends.
969,Medium,0.6405263807799276,Moderate,MEDIUM,Monitor weekly quiz scores and attendance trends.
